iter	Passed	Remaining
974	19363	496
975	19383	476
976	19407	456
977	19443	437
978	19476	417
979	19500	397
980	19520	378
981	19541	358
982	19562	338
983	19581	318
984	19603	298
985	19625	278
986	19644	258
987	19660	238
988	19678	218
989	19695	198
990	19713	179
991	19732	159
992	19750	139
993	19769	119
994	19792	99
995	19815	79
996	19833	59
997	19851	39
998	19868	19
999	19885	0
